Merchant_ID,Merchant,store_id,store_name,store_type,city,area,supplier
328526,万利隆（湘潭）,11791619,万利隆蛋糕（广云店）,普通商家,湘潭,雨湖区,适中
328153,老百姓大药房,11790324,老百姓大药房—下摄司店,普通商家,湘潭,岳塘区,达达多
328154,老百姓大药房,11798638,老百姓大药房-郊区粮店,普通商家,株洲,芦淞区,适中
328137,果之友（湘潭）,11786501,果之友-株洲金域半岛店,本地连锁,株洲,荷塘区,适中
325760,名创优品,11808830,名创优品-三河永旺梦乐城店,全国连锁,廊坊,三河市,适中
298813,全国绿韵花田,11767237,绿韵花田绿植礼品-廊坊店,普通商家,廊坊,广阳区,适中
329596,海王星辰大药房,11803827,海王星辰-珠海八汇花园店,普通商家,珠海,香洲区,适中
325760,名创优品,11808198,名创优品-珠海拱北口岸二店,全国连锁,珠海,香洲区,适中
319116,winkcake,11812297,winkcake蛋糕珠海一店,普通商家,珠海,香洲区,适中
328140,家乐福（全国）,11814226,家乐福-远洋店,全国连锁,中山,中山区,商家多
320406,京西菜市,11816842,京西菜市-旺角店,全国连锁,中山,中山区,商家多
317476,百佳,11812606,Taste超市（大信新都汇店）,全国连锁,中山,中山区,商家多
330796,酒小二,11810781,酒小二(高新外卖店),普通商家,南宁,西乡塘区,达达多
326905,皇氏,11771986,皇氏新鲜屋锦绣豪庭加盟店,普通商家,南宁,西乡塘区,达达多
327789,南宁老百姓,11783711,老百姓-普罗旺斯波尔多店,普通商家,南宁,江南区,适中
326114,古城大药房,11767062,友和古城大药房-迅康店,普通商家,南宁,江南区,适中
323945,元祖（全国）,11752320,元祖蛋糕（盛天领域店）,本地连锁,南宁,江南区,适中
327789,南宁老百姓,11783734,老百姓-丽景豪庭店,普通商家,南宁,青秀区,适中
326905,皇氏,11771937,皇氏新鲜屋昊然风景加盟店,普通商家,南宁,青秀区,适中
325262,共和生鲜,11762305,共和生鲜—凤岭生活广场店,本地连锁,南宁,青秀区,适中
325144,百香鲜果园,11778787,百香鲜果园（金湖店）,普通商家,南宁,青秀区,适中
324773,南宁朝阳大药房,11808093,朝阳民主店,普通商家,南宁,青秀区,适中
324731,甜得很水果行,11757049,甜得很水果行,普通商家,南宁,青秀区,适中
326905,皇氏,11771930,皇氏新鲜屋畅春湖加盟店,普通商家,南宁,兴宁区,达达多
326114,古城大药房,11767068,友和古城大药房-乐康店,普通商家,南宁,兴宁区,达达多
329899,新富苑水果店,11801353,富苑鲜果,普通商家,惠州,惠阳,适中
309283,百香果园,11799807,百香鲜果园（河南岸店）,普通商家,惠州,惠城区,适中
298813,全国绿韵花田,11798346,绿韵花田绿植礼品-惠州店,普通商家,惠州,惠城区,适中
329429,金虎便利,11804641,金虎便利(1529滨河城),普通商家,太原,尖草坪区,适中
329236,一手店,11798382,一手店-丽日店,普通商家,太原,尖草坪区,适中
329429,金虎便利,11804895,金虎便利(2568西吴苑西区),普通商家,太原,小店区,适中
329429,金虎便利,11804844,金虎便利(2372云水榭),普通商家,太原,小店区,适中
329429,金虎便利,11804823,金虎便利(2317恒实广场),普通商家,太原,小店区,适中
329429,金虎便利,11804682,金虎便利(1699颐龙),普通商家,太原,小店区,适中
